,id,label
0,WRLevel2_2005-06_abtschool,2
1,WRLevel2_2009-10_celebrateourcount,2
2,WRLevel2_2000-01_wiener,2
3,WRLevel2_2002-03_cavity,2
4,WRLevel2_2000-01_awddling,2
5,WRLevel2_2003-04_topfive,2
6,WRLevel2_2004-05_coral,2
7,WRLevel2_2009-10_savingfrogs,2
8,WRLevel2_2000-01_fixingflat,2
9,WRLevel2_2000-01_human,2
10,WRLevel2_2007-08_whatisarock,2
11,WRLevel2_2005-06_fireighters,2
12,WRLevel2_2000-01_kids,2
13,WRLevel2_2005-06_types,2
14,WRLevel2_2000-01_girlsget,2
15,WRLevel2_2002-03_pyramids,2
16,WRLevel2_2000-01_tricktreat,2
17,WRLevel2_2005-06_outofthis,2
18,WRLevel2_2000-01_america,2
19,WRLevel2_2011-2012_nomore,2
20,WRLevel2_2000-01_kidpoet,2
21,WRLevel2_2009-10_native,2
22,WRLevel2_2000-01_dollar,2
23,WRLevel2_2004-05_bitgteh,2
24,WRLevel2_2005-06_spidy,2
25,WRLevel2_2000-01_earth,2
26,WRLevel2_2000-01_family,2
27,WRLevel2_2000-01_govthelps,2
28,WRLevel2_2000-01_kidgoes,2
29,WRLevel2_2003-04_snowisueslf,2
30,WRLevel2_2000-01_butterflies,2
31,WRLevel2_2000-01_ny,2
32,WRLevel2_2000-01_crowded,2
33,WRLevel2_2004-05_weather,2
34,WRLevel2_2010-11_holidaygiving,2
35,WRLevel2_2000-01_kidsraise,2
36,WRLevel2_2006-07_native,2
37,WRLevel2_2000-01_crows,2
38,WRLevel2_2005-06_following,2
39,WRLevel2_2007-08_giving,2
40,WRLevel2_2007-08_travelcolorad,2
41,WRLevel2_2010-11_makinghis,2
42,WRLevel2_2005-06_columbus,2
43,WRLevel2_2007-08_mandarin,2
44,WRLevel2_2008-09_whale,2
45,WRLevel2_2000-01_pgrounds,2
46,WRLevel2_2006-07_pumpfav,2
47,WRLevel2_2008-09_lostlady,2
48,WRLevel2_2008-09_namethatsymbnol,2
49,WRLevel2_2000-01_aplace,2
50,WRLevel2_2000-01_arctic,2
51,WRLevel2_2000-01_volcano,2
52,WRLevel2_2008-09_farmfresh,2
53,WRLevel2_2000-01_huamei,2
54,WRLevel2_2007-08_howplastic,2
55,WRLevel2_2006-07_frogs,2
56,WRLevel2_2007-08_meetpoet,2
57,WRLevel2_2008-09_safety,2
58,WRLevel2_2000-01_hornets,2
59,WRLevel2_2003-04_whiskss,2
60,WRLevel2_2006-07_marvelous,2
