id,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33
KET_1,0.873684,0.662651,6.037033999999999,8.537656,0.5263359999999999,77.460801,0.662651,0.9,16.2,2.84605,0.10843399999999999,0.27710799999999997,0.084337,0.042169,0.126506,0.0,4.084337349397591,1.35119,11.857142999999999,7.5454550000000005,1.5714290000000002,0.318182,0.5,0.136364,0.214286,13.318182,15.857142999999999,20.928570999999998,4.357143,4.373874,3.9795220000000002,4.442623,9.787879
KET_2,0.8548389999999999,0.6880729999999999,5.0796410000000005,7.183697,0.5966130000000001,71.932879,0.679245,1.0,9.0,2.12132,0.084906,0.18867899999999999,0.103774,0.09434,0.198113,0.008065000000000001,4.348623853211009,1.3301889999999998,11.777778,7.066667,1.666667,0.266667,0.44444399999999995,0.13333299999999998,0.22222199999999998,10.0,9.444444,16.666667,2.444444,4.658824,4.213333,4.4545449999999995,7.965812
KET_3,0.8837209999999999,0.8684209999999999,5.353307,7.570719,0.69334,179.502163,0.8684209999999999,1.0,13.0,2.5495099999999997,0.171053,0.25,0.052632000000000005,0.078947,0.131579,0.0,4.026315789473684,1.3376620000000001,8.444444,8.444444,1.0,0.22222199999999998,0.22222199999999998,0.11111099999999999,0.11111099999999999,15.444444,7.444444,15.444444,3.0,4.134328,4.129496,4.370369999999999,7.955556
KET_4,0.835,0.568966,5.306957,7.505171000000001,0.50257,54.018122,0.550898,0.8421049999999999,13.473684,2.595543,0.095808,0.161677,0.07185599999999999,0.07784400000000001,0.149701,0.0,4.362068965517241,1.371257,13.916667000000002,7.590909,1.833333,0.181818,0.333333,0.204545,0.375,10.954545,12.333333,20.083333,4.5833330000000005,4.716216,4.473029,4.090909,7.863415
KET_5,0.8320000000000001,0.7735850000000001,5.631783,7.964544,0.6175,109.13048,0.769231,0.8888889999999999,7.111111,1.885618,0.076923,0.240385,0.125,0.105769,0.230769,0.0,4.339622641509433,1.375,8.666667,5.777778,1.5,0.22222199999999998,0.333333,0.083333,0.125,7.444444,7.3333330000000005,11.166667,1.916667,4.75,4.067164,4.130434999999999,6.961832000000001
KET_6,0.8045979999999999,0.757143,4.479318,6.334712000000001,0.684617,81.744283,0.757143,0.857143,10.285714,2.2677869999999998,0.171429,0.171429,0.07142899999999999,0.07142899999999999,0.14285699999999998,0.0,3.7714285714285714,1.222222,6.363636,5.8333330000000005,1.090909,0.416667,0.454545,0.083333,0.090909,12.416667,5.0,13.545454999999999,2.0,4.127273000000001,3.577181,3.9090910000000005,8.44
KET_7,0.9104479999999999,0.584699,5.592980000000001,7.909667999999999,0.49834399999999995,58.699797,0.584699,0.5882350000000001,5.882353,1.7149860000000001,0.054645000000000006,0.245902,0.071038,0.038251,0.10929000000000001,0.0,4.535519125683059,1.502732,18.3,10.764706,1.7,0.17647100000000002,0.3,0.235294,0.4,17.117647,21.0,29.1,12.3,5.085714,4.4811,4.715447,8.960784
KET_8,0.8549620000000001,0.741379,5.646177,7.9849,0.5966640000000001,95.657325,0.741071,0.75,6.75,1.8371169999999999,0.08035700000000001,0.267857,0.11607100000000001,0.035713999999999996,0.15178599999999998,0.007634,4.155172413793103,1.3839290000000002,9.333333,7.466667,1.25,0.06666699999999999,0.083333,0.23333299999999998,0.291667,9.266667,9.916667,11.583333,4.0833330000000005,4.319328,4.007194,4.081633,7.140625
KET_9,0.868132,0.7341770000000001,4.614232,6.52551,0.6590739999999999,76.976061,0.7341770000000001,1.0,12.0,2.44949,0.151899,0.227848,0.037975,0.050633,0.088608,0.0,3.8227848101265822,1.2625,7.9,7.181817999999999,1.1,0.0,0.0,0.136364,0.15,14.454545000000001,6.8,15.9,3.3,3.75,3.779874,4.030303,7.6458330000000005
KET_10,0.870647,0.631285,5.972236,8.446017,0.509764,70.090829,0.622857,0.814815,17.925926,2.993821,0.12571400000000002,0.2,0.074286,0.051428999999999996,0.12571400000000002,0.014925,4.29608938547486,1.3820219999999999,13.538461999999999,11.733333,1.153846,0.866667,1.0,0.2,0.230769,28.2,12.307692,32.538462,4.846154,4.63125,4.160757,4.047619,11.866667
KET_11,0.8211379999999999,0.6190479999999999,4.485426,6.34335,0.587723,52.421057,0.60396,0.857143,10.285714,2.2677869999999998,0.11881199999999999,0.227723,0.029702999999999997,0.029702999999999997,0.059405999999999994,0.00813,4.4,1.398058,10.1,6.3125,1.6,0.125,0.2,0.0625,0.1,8.1875,11.7,13.1,5.3,4.811966,4.290076,4.264151,7.426357
